Area,BHK,Age,City,State,Price (INR)
2500,3,10,Mumbai,Maharashtra,"56,00,000"
2800,4,8,Pune,Maharashtra,"63,50,000"
3200,4,5,Nagpur,Maharashtra,"72,00,000"
3000,3,15,Noida,Uttar Pradesh,"65,50,000"
3500,4,12,Lucknow,Uttar Pradesh,"76,00,000"
3800,5,6,Ghaziabad,Uttar Pradesh,"96,00,000"
3200,3,18,Bangalore,Karnataka,"68,00,000"
2800,3,8,Mangalore,Karnataka,"65,80,000"
3400,4,6,Mysore,Karnataka,"75,00,000"
3600,4,5,Chennai,Tamil Nadu,"85,00,000"
3200,3,20,Coimbatore,Tamil Nadu,"59,00,000"
2900,3,18,Madurai,Tamil Nadu,"56,50,000"
3000,4,10,Kolkata,West Bengal,"69,50,000"
2800,2,12,Siliguri,West Bengal,"49,00,000"
3300,4,10,Durgapur,West Bengal,"73,00,000"
2900,3,18,Jaipur,Rajasthan,"56,50,000"
3100,4,8,Udaipur,Rajasthan,"71,50,000"
3400,4,6,Jodhpur,Rajasthan,"76,00,000"
3300,4,12,Patna,Bihar,"72,00,000"
3500,4,8,Gaya,Bihar,"78,00,000"
3200,3,15,Ranchi,Jharkhand,"67,00,000"
3100,3,18,Jamshedpur,Jharkhand,"65,50,000"
3600,4,16,Bhubaneswar,Odisha,"68,00,000"
3300,4,12,Cuttack,Odisha,"73,50,000"
3200,4,10,Rourkela,Odisha,"69,00,000"
3400,4,18,Kochi,Kerala,"68,00,000"
3100,3,14,Thiruvananthapuram,Kerala,"69,00,000"
3300,4,12,Kozhikode,Kerala,"76,50,000"
3100,3,18,Guwahati,Assam,"65,00,000"
3300,4,22,Dibrugarh,Assam,"58,00,000"
3500,5,20,Dispur,Assam,"79,00,000"
3000,3,10,Dehradun,Uttarakhand,"71,50,000"
3200,4,12,Haridwar,Uttarakhand,"72,00,000"
3300,4,20,Nainital,Uttarakhand,"78,00,000"
3400,4,25,Gangtok,Sikkim,"75,50,000"
3500,5,20,Aizawl,Mizoram,"69,50,000"
3600,5,15,Imphal,Manipur,"80,00,000"
3700,5,12,Kohima,Nagaland,"86,00,000"
3800,5,18,Dimapur,Nagaland,"87,00,000"
4000,6,10,Shillong,Meghalaya,"1,10,00,000"
4100,6,8,Tura,Meghalaya,"1,30,00,000"
4200,6,5,Itanagar,Arunachal Pradesh,"1,40,00,000"
4300,6,25,Naharlagun,Arunachal Pradesh,"1,07,50,000"
4400,7,28,Agartala,Tripura,"1,02,00,000"
4500,7,30,Udaipur,Tripura,"1,03,00,000"
4600,7,32,Dharmanagar,Tripura,"1,04,00,000"
2800,4,8,Mumbai,Maharashtra,"65,50,000"
3200,4,5,Mumbai,Maharashtra,"72,00,000"
3000,3,15,Delhi,Delhi,"70,50,000"
3500,4,12,Delhi,Delhi,"75,00,000"
3800,5,6,Delhi,Delhi,"92,00,000"
2800,3,8,Bangalore,Karnataka,"65,80,000"
3200,4,10,Bangalore,Karnataka,"72,00,000"
3600,4,5,Bangalore,Karnataka,"80,00,000"
3000,3,20,Kolkata,West Bengal,"65,00,000"
3200,4,18,Kolkata,West Bengal,"64,50,000"
3500,5,15,Kolkata,West Bengal,"80,00,000"
2600,2,12,Pune,Maharashtra,"59,00,000"
3000,3,10,Pune,Maharashtra,"69,50,000"
3400,4,8,Pune,Maharashtra,"79,00,000"
2800,3,6,Chennai,Tamil Nadu,"64,50,000"
3200,4,5,Chennai,Tamil Nadu,"74,00,000"
3600,5,7,Chennai,Tamil Nadu,"80,00,000"
3000,3,10,Hyderabad,Telangana,"70,50,000"
3300,4,8,Hyderabad,Telangana,"73,00,000"
3700,5,12,Hyderabad,Telangana,"91,00,000"
2500,2,5,Ahmedabad,Gujarat,"63,00,000"
2800,3,8,Ahmedabad,Gujarat,"65,00,000"
3200,4,10,Ahmedabad,Gujarat,"72,50,000"
2700,3,7,Jaipur,Rajasthan,"59,50,000"
3000,4,10,Jaipur,Rajasthan,"70,50,000"
3400,5,12,Jaipur,Rajasthan,"78,00,000"
2800,3,8,Chandigarh,Punjab,"64,00,000"
3100,4,6,Chandigarh,Punjab,"74,50,000"
3500,5,10,Chandigarh,Punjab,"79,00,000"
2600,2,15,Mumbai,Maharashtra,"63,50,000"
2900,3,12,Mumbai,Maharashtra,"65,50,000"
3300,4,10,Mumbai,Maharashtra,"74,00,000"
3100,3,18,Delhi,Delhi,"75,00,000"
3400,4,16,Delhi,Delhi,"79,00,000"
3800,5,14,Delhi,Delhi,"91,00,000"
2900,3,8,Bangalore,Karnataka,"66,00,000"
3300,4,12,Bangalore,Karnataka,"74,50,000"
3600,4,6,Bangalore,Karnataka,"81,50,000"
3100,3,22,Kolkata,West Bengal,"74,80,000"
3300,4,20,Kolkata,West Bengal,"73,00,000"
3600,5,18,Kolkata,West Bengal,"80,50,000"
2700,2,10,Pune,Maharashtra,"67,00,000"
3100,3,8,Pune,Maharashtra,"73,20,000"
3500,4,6,Pune,Maharashtra,"79,50,000"
2900,2,7,Chennai,Tamil Nadu,"67,80,000"
3300,3,6,Chennai,Tamil Nadu,"76,50,000"
3700,4,8,Chennai,Tamil Nadu,"92,80,000"
3100,3,12,Hyderabad,Telangana,"75,20,000"
3400,4,10,Hyderabad,Telangana,"74,50,000"
3800,5,14,Hyderabad,Telangana,"77,50,000"
2600,2,5,Ahmedabad,Gujarat,"63,20,000"
2900,3,8,Ahmedabad,Gujarat,"65,50,000"
3300,4,10,Ahmedabad,Gujarat,"76,80,000"
2800,3,9,Jaipur,Rajasthan,"63,80,000"
3200,4,12,Jaipur,Rajasthan,"73,00,000"
3600,5,15,Jaipur,Rajasthan,"80,50,000"
2900,3,8,Chandigarh,Punjab,"67,20,000"
3200,4,10,Chandigarh,Punjab,"75,80,000"
3600,5,12,Chandigarh,Punjab,"89,20,000"
2800,3,8,Bhubaneswar,Odisha,"66,00,000"
3200,4,10,Bhubaneswar,Odisha,"72,50,000"
3500,4,12,Bhubaneswar,Odisha,"79,50,000"
3300,3,15,Cuttack,Odisha,"75,50,000"
3100,3,18,Cuttack,Odisha,"72,70,000"
3200,4,20,Cuttack,Odisha,"71,80,000"
3000,3,12,Rourkela,Odisha,"69,80,000"
3400,4,14,Rourkela,Odisha,"76,20,000"
3600,5,16,Rourkela,Odisha,"80,50,000"
3100,3,10,Sambalpur,Odisha,"71,20,000"
3300,4,8,Puri,Odisha,"76,80,000"
3500,4,12,Berhampur,Odisha,"77,00,000"
